Detected 2 OpenCL Platforms.
Detected 1 Devices In Platform.
Detected 1 Devices In Platform.
Selected device NVIDIA GeForce RTX 2070 in platform NVIDIA CUDA.
Maximum GPU memory allocation is 1993.328125 MiB.
Global GPU memory is 7973.312500 MiB.
There are 69132954 perfect powers < 2^104
0x0000000000011b01d179100000 + 0x000000000002636f6296f00000 = 0x0000000000037e713410000000
0x000000000001424c7dbff29631 + 0x000000000006fdeb28230979cf = 0x0000000000084037a5e2fc1000
0x0000000000014354417f979821 + 0x00000000000219439e5fe81000 = 0x0000000000035c97dfdf7fa821
0x00000000000146410000000000 + 0x00000000001464100000000000 = 0x000000000015aa510000000000
0x0000000000016042bec806ab41 + 0x00000000002e7d7419c91de0e0 = 0x00000000002fddb6d891248c21
0x00000000000187f320b492d2c1 + 0x000000000e5a87529ce077d160 = 0x000000000e5c0f45bd950aa421
0x000000000001bd81ab557f3010 + 0x000000000008cf607360d3e351 = 0x00000000000a8ce21eb6531361
0x000000000001fb64d74d010000 + 0x00000000009e8f834810500000 = 0x0000000000a08ae81f5d510000
0x00000000000200000000000000 + 0x00000000000200000000000000 = 0x00000000000400000000000000
0x00000000000210de9487240000 + 0x0000000005dff8f6604e600000 = 0x0000000005e209d4f4d5840000
0x00000000000219a5ad50507e40 + 0x0000000005fb08ca89b5378440 = 0x0000000005fd22703705880280
0x0000000000023011646ed8bb10 + 0x0000000000b13580c712933010 = 0x0000000000b365922b816beb20
0x00000000000234ce1000000000 + 0x000000000560b6470000000000 = 0x000000000562eb151000000000
0x0000000000023c14b661000000 + 0x000000000574ae9142d1000000 = 0x000000000576eaa5f932000000
0x000000000002572a4fe6237a21 + 0x0000000001e5aef1d0d28488a0 = 0x0000000001e8061c20b8a802c1
0x00000000000290b6d1d5c4bc01 + 0x00000000cfc747add169b794ff = 0x00000000cfc9d864a33f7c5100
0x00000000000290f7b15dc74401 + 0x00000000cfde5f1eac0c845100 = 0x00000000cfe0f0165d6a4b9501
0x0000000000030bd02c47eaa991 + 0x000000000023bb25433a18a2a0 = 0x000000000026c6f56f82034c31
0x0000000000035c20bb0c38c110 + 0x000000000006397e37c37b5121 = 0x000000000009959ef2cfb41231
0x00000000000400000000000000 + 0x00000000000400000000000000 = 0x00000000000800000000000000
0x000000000004211923c4a57400 + 0x000000003263e6c87bb30b9000 = 0x00000000326807e19f77b10400
0x000000000004247c806b260d60 + 0x00000000329163cb9bf78144e0 = 0x00000000329588481c62a75240
0x0000000000044f0076f7d31631 + 0x00000000001c3ca1f86afc1000 = 0x0000000000208ba26f62cf2631
0x0000000000059d46f6c0ba8100 + 0x00000000008a4690c340b16321 = 0x00000000008fe3d7ba016be421
0x000000000006aceadeb959f92f + 0x00000000000cbc4f764c66f1e1 = 0x000000000013693a5505c0eb10
0x000000000007ac24e487c28100 + 0x0000000000c4a2dd84fb5fec21 = 0x0000000000cc4f026983226d21
0x00000000000800000000000000 + 0x00000000000800000000000000 = 0x00000000001000000000000000
0x0000000000093bb42085610000 + 0x000000040614af6c2015900000 = 0x00000004061deb20409af10000
0x0000000000093c5da496180a10 + 0x000000040667cb674d6ffaa310 = 0x00000004067107c4f20612ad20
0x000000000009a0984019054100 + 0x00000087aa917b409589778000 = 0x00000087aa9b1bd8d5a27cc100
0x000000000009fa9dca61000000 + 0x0000000000114a285040000000 = 0x00000000001b44c61aa1000000
0x00000000000a288a78ebe7c810 + 0x00000000244560ec61d046c5a1 = 0x00000000244f8976dabc2e8db1
0x00000000000a3f6041fa245010 + 0x0000000024a12901d52f6c6e31 = 0x0000000024ab6862172990be41
0x00000000000ac4ddeb43010000 + 0x000000000066479e6952300000 = 0x0000000000710c7c5495310000
0x00000000000ae1965f4e3e5551 + 0x0000000005347a1731afd121bf = 0x00000000053f5bad90fe0f7710
0x00000000000b02b45d39bf34b9 + 0x00000000002e65ff6d75fa8c00 = 0x00000000003968b3caafb9c0b9
0x00000000000b9c130feff9add1 + 0x0000000005994ac5e87835ff10 = 0x0000000005a4e6d8f8682face1
0x00000000000bae97c9e51aa210 + 0x000000000e276702d979411400 = 0x000000000e33159aa35e5bb610
0x00000000000bb41c3ca78b9000 + 0x00000000005da0e1e53c5c8000 = 0x00000000006954fe21e3e81000
0x00000000000cfd41b910000000 + 0x000000000026f7c52b30000000 = 0x000000000033f506e440000000
0x00000000000dd201d78560c910 + 0x00000000003825277b8dd930d1 = 0x000000000045f729531339f9e1
0x00000000000e63ae75cd0f88a0 + 0x00000000001d3a3f948d0062c1 = 0x00000000002b9dee0a5a0feb61
0x00000000000f33ed71f9100000 + 0x0000000000300c69b410000000 = 0x00000000003f40572609100000
0x00000000001000000000000000 + 0x00000000001000000000000000 = 0x00000000002000000000000000
0x000000000011b7aa4b87e16e10 + 0x000000000011b7aa4b87e16e10 = 0x0000000000236f54970fc2dc20
0x00000000001720eb1d42a8a110 + 0x0000000000f2cb6ee34ab4f410 = 0x000000000109ec5a008d5d9520
0x00000000001a2da6e53986c100 + 0x000001d9b71a96fb7af7788000 = 0x000001d9b734c4a26030ff4100
0x00000000001b210b35bc810000 + 0x000000c70e99fc454ad9700000 = 0x000000c70eb51d508095f10000
0x00000000001de13c5eda9a82a1 + 0x00000000004061deb20409af10 = 0x00000000005e431b10dea431b1
0x00000000001e38d6c73b3eedc1 + 0x00000011b7132d526357ff044f = 0x00000011b73166292a933df210
0x00000000001e3a7347df541e41 + 0x00000011b8233351593efbfa10 = 0x00000011b8416dc4a11e501851
0x00000000002000000000000000 + 0x00000000002000000000000000 = 0x00000000004000000000000000
0x00000000002006c7e181000000 + 0x0000000004c30217f73e100000 = 0x0000000004e308dfd8bf100000
0x000000000022b31786f8e880b1 + 0x0000000001122a31c06f43d3e0 = 0x000000000134dd4947682c5491
0x0000000000236f54970fc2dc20 + 0x00000000003642798750226111 = 0x000000000059b1ce1e5fe53d31
0x0000000000274ea58a01000000 + 0x0000000005ff70225ec7100000 = 0x000000000626bec7e8c8100000
0x000000000028884a378e368100 + 0x00000000009069b02608b58000 = 0x0000000000b8f1fa5d96ec0100
0x000000000028ed0de71c100000 + 0x00000000cf07295416f4f00000 = 0x00000000cf301661fe11000000
0x0000000000292ded71a4100000 + 0x00000000d078820f4e91000000 = 0x00000000d0a1affcc035100000
0x00000000002b5e3af16b188000 + 0x00000000002b5e3af16b188000 = 0x000000000056bc75e2d6310000
0x00000000003284bed08b100000 + 0x000000002378dce564ce000000 = 0x0000000023ab61a43559100000
0x000000000034ce004e801c3510 + 0x0000000025489c7050c029c310 = 0x00000000257d6a709f4045f820
0x00000000003b5e9bd6ddde56e1 + 0x0000000000654827d0dbd81000 = 0x0000000000a0a6c3a7b9b666e1
0x00000000004000000000000000 + 0x00000000004000000000000000 = 0x00000000008000000000000000
0x000000000043006acc6ed72ff1 + 0x0000000003ed0641fa7e9bcf1f = 0x00000000043006acc6ed72ff10
0x0000000000448a91ce3e5cd110 + 0x00000000015afd82241bb5e261 = 0x00000000019f8813f25a12b371
0x00000000004510f2bc10000000 + 0x0000000000638d6de113100000 = 0x0000000000a89e609d23100000
0x00000000004ccfeb0057e85440 + 0x00000000031e2065cf916a0b69 = 0x00000000036af050cfe9525fa9
0x00000000005575a76329f20b21 + 0x000000088de6e14d12da5d2da0 = 0x000000088e3c56f476044f38c1
0x00000000005b25d49921000000 + 0x000000466878f9493dc0000000 = 0x0000004668d41f1dd6e1000000
0x00000000005b27ac993df97701 + 0x000000000557531cfaa19df90f = 0x0000000005b27ac993df977010
0x00000000005b2984a084123810 + 0x000000466bad5c82a596e09410 = 0x000000466c088607461af2cc20
0x0000000000673a910000000000 + 0x0000000002b54a200000000000 = 0x00000000031c84b10000000000
0x00000000006e8a03f8cb5ac871 + 0x0000000006e8a03f8cb5ac8710 = 0x0000000007572a438581074f81
0x00000000006f1b2e05965ce0a1 + 0x00000000015fa4b5966da3fa6f = 0x0000000001cebfe39c0400db10
0x000000000074bb5060ec543d0f + 0x00000000011867b109145ed3f1 = 0x00000000018d23016a00b31100
0x00000000007db5c275ed79b0a0 + 0x000000002f76a833d6717a17e9 = 0x000000002ff45df64c5ef3c889
0x00000000008000000000000000 + 0x00000000008000000000000000 = 0x00000000010000000000000000
0x00000000008b43ef25963158a0 + 0x00000000352022322e9342f6c9 = 0x0000000035ab66215429744f69
0x0000000000936bde482e33e010 + 0x000000040360ebc4e67c64ad81 = 0x0000000403f457a32eaa988d91
0x00000000009415625c5e496810 + 0x0000000408925c2c3333bb2e11 = 0x000000040926718e8f92049621
0x0000000000981feaebf6d6c100 + 0x000000002164197f95293952f1 = 0x0000000021fc396a81201013f1
0x0000000000a7a93d268ddf1100 + 0x0000000004660528e9a5da2000 = 0x00000000050dae661033b93100
0x0000000000aef77bb8ab5ec100 + 0x00000000271697eacc80e61bf1 = 0x0000000027c58f66852c44dcf1
0x0000000000bc45f8a261b63a10 + 0x0000000054fb54e7bc4faabc00 = 0x0000000055b79ae05eb160f610
0x0000000000cab11bd507e68100 + 0x0000000009b9ba36f099468000 = 0x000000000a846b52c5a12d0100
0x0000000000cc99a6dce0cbd791 + 0x00000000cbcd0d3603eb0bb96f = 0x00000000cc99a6dce0cbd79100
0x0000000000d3184e3809a85f91 + 0x00000000d3184e3809a85f9100 = 0x00000000d3eb668641b207f091
0x0000000000d6f287ab1ce0f610 + 0x00000000024b5e1fab99f9fa10 = 0x00000000032250a756b6daf020
0x0000000000dcdaa8b9423acc00 + 0x00000000022de0f79aacd38710 = 0x00000000030abba053ef0e5310
0x0000000000dcdf0f4b9a731440 + 0x0000000009d3dcca392b46d2a9 = 0x000000000ab0bbd984c5b9e6e9
0x0000000000f81bc845c81bf801 + 0x00000000f723ac7d8253dc08ff = 0x00000000f81bc845c81bf80100
0x0000000000fffc0005fffc0001 + 0x000000fffb0009fff60004ffff = 0x000000fffc0005fffc00010000
0x00000000010000000000000000 + 0x00000000010000000000000000 = 0x00000000020000000000000000
0x00000000010004000600040001 + 0x00000100040006000400010000 = 0x0000010005000a000a00050001
0x0000000001081c3846381c0801 + 0x00000001081c3846381c080100 = 0x000000010924547e7e54240901
0x00000000010c25db01925d0100 + 0x00000023b92aaa07c6d2828000 = 0x00000023ba36cfe2c864df8100
0x00000000011e79eea05b8fb091 + 0x0000000006803b8b9e55a0a820 = 0x00000000079eb57a3eb13058b1
0x000000000124d5ee95d1000000 + 0x0000000008d388d547f1000000 = 0x0000000009f85ec3ddc2000000
0x00000000014ce6b167f3100000 + 0x00000000014ce6b167f3100000 = 0x000000000299cd62cfe6200000
0x00000000014ebb453061000000 + 0x000000001d528e268ac0000000 = 0x000000001ea1496bbb21000000
0x00000000017b197d602cf9bbe1 + 0x00003446536bac67a62e0e30e0 = 0x0000344654e6c5e5065b07ecc1
0x00000000018417c9d2a7010000 + 0x0000000001ddf1ac5885900000 = 0x00000000036209762b2c910000
0x00000000018a4bbe5340bd2fdf + 0x0000002ec73269627b31d0e5c1 = 0x0000002ec8bcb520ce728e15a0
0x00000000018acda2e4c371ffe1 + 0x0000002ed82633e4b0a6bc5260 = 0x0000002ed9b10187956a2e5241
0x00000000019723688cc8bde2d1 + 0x000000000436e74d63ee349100 = 0x0000000005ce0ab5f0b6f273d1
0x0000000001d71651e7461bbb10 + 0x000000002b1b8000e3aff62710 = 0x000000002cf29652caf611e220
0x0000000001e2cc310000000000 + 0x00000011ae3a4b600000000000 = 0x00000011b01d17910000000000
0x0000000001e44ee1e289d9c100 + 0x000000004ecc7e38bd139b8000 = 0x0000000050b0cd1a9f9d754100
0x0000000001e468b1a8c1000000 + 0x00000011bf39ea3fba21000000 = 0x00000011c11e52f162e2000000
0x00000000020000000000000000 + 0x00000000020000000000000000 = 0x00000000040000000000000000
0x0000000002153e468b91c6d100 + 0x0000000002153e468b91c6d100 = 0x00000000042a7c8d17238da200
